player_id,First Pitch Total,First Pitch In-Play #,First Pitch Ball #,First Pitch Called Strike #,First Pitch Swinging Strike #,First Pitch Foul #,First Pitch Hit #,First Pitch xBA,First Pitch In-Play %,First Pitch Ball %,First Pitch Strike %,key_mlbam,player_name,Team
656257,17,4,5,6,0,2,2,0.577,0.235,0.294,0.471,656257.0,jeff brigham,AZ
656271,144,20,55,37,11,20,7,0.315,0.139,0.382,0.472,656271.0,brock burke,LAA
656288,329,27,128,96,29,35,12,0.395,0.082,0.389,0.486,656288.0,griffin canning,NYM
656302,394,33,137,104,49,52,16,0.41,0.084,0.348,0.52,656302.0,dylan cease,CIN
656420,22,4,5,5,3,5,3,0.604,0.182,0.227,0.591,656420.0,j. p. feyereisen,LAD
656427,353,35,111,117,27,46,13,0.404,0.099,0.314,0.538,656427.0,jack flaherty,DET
656457,86,10,31,27,7,9,4,0.311,0.116,0.36,0.5,656457.0,tyler gilbert,CWS
656464,84,10,34,22,2,14,5,0.332,0.119,0.405,0.452,656464.0,kevin ginkel,AZ
656546,144,19,33,45,22,20,10,0.521,0.132,0.229,0.604,656546.0,jeff hoffman,TOR
656550,375,35,143,107,29,40,12,0.38,0.093,0.381,0.469,656550.0,grant holmes,NYM
656557,203,32,76,67,7,19,11,0.39,0.158,0.374,0.458,656557.0,tanner houck,DET
656605,418,43,145,140,24,54,11,0.253,0.103,0.347,0.522,656605.0,mitch keller,PIT
656629,29,3,10,8,3,3,2,0.642,0.103,0.345,0.483,656629.0,michael kopech,COL
656641,155,16,60,42,18,14,2,0.122,0.103,0.387,0.477,656641.0,jacob latz,TEX
656730,122,16,34,40,12,16,6,0.412,0.131,0.279,0.557,656730.0,trevor megill,MIL
656731,305,26,107,96,25,38,8,0.283,0.085,0.351,0.521,656731.0,tylor megill,NYM
656794,265,22,108,95,10,22,9,0.378,0.083,0.408,0.479,656794.0,sean newcomb,TB
656848,28,5,9,7,4,2,1,0.178,0.179,0.321,0.464,656848.0,michael petersen,ATL
656849,402,43,144,138,23,44,12,0.384,0.107,0.358,0.51,656849.0,david peterson,PIT
656876,339,42,106,112,26,44,13,0.319,0.124,0.313,0.537,656876.0,drew rasmussen,TB
656896,13,2,4,5,1,0,2,0.498,0.154,0.308,0.462,656896.0,emmanuel rivera,BOS
656945,147,19,48,39,20,18,5,0.319,0.129,0.327,0.524,656945.0,tanner scott,KC
656986,114,9,46,26,15,15,3,0.347,0.079,0.404,0.491,656986.0,bennett sousa,HOU
657006,75,9,24,29,3,10,1,0.23,0.12,0.32,0.56,657006.0,justin steele,CHC
